"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLACBUS","197907","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197908","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197909","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197910","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197911","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197912","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197913","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198001","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198002","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198003","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198004","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198005","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198006","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198007","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198008","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198009","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198010","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198011","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198012","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198013","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198101","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198102","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198103","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198104","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198105","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198106","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198107","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198108","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198109","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198110","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
