"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLCCBUS","198004","10.294","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198005","6.215","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198006","4.915","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198007","6.091","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198008","5.752","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198009","7.64","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198010","10.418","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198011","11.024","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198012","14.105","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198013","114.903","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198101","16.494","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198102","13.121","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198103","8.735","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198104","10.357","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198105","8.661","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198106","5.529","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198107","7.924","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198108","8.459","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198109","10.818","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198110","11.536","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198111","15.683","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198112","19.461","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198113","136.759","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198201","18.705","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198202","13.054","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198203","10.605","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198204","13.242","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198205","8.797","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198206","6.838","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198207","11.83","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198208","12.621","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198209","11.999","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198210","12.432","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198211","15.917","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198212","19.176","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198213","155.216","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198301","16.912","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198302","14.788","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198303","10.541","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198304","14.673","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198305","8.858","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198306","7.021","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198307","11.459","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198308","10.828","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198309","14.387","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198310","15.286","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198311","16.166","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198312","20.7","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198313","161.619","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198401","19.346","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198402","16.929","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198403","12.066","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198404","17.17","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198405","10.367","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198406","8.197","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198407","12.857","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198408","12.142","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198409","16.131","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198410","12.818","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198411","13.561","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198412","17.353","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198413","168.936","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198501","14.66","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198502","12.828","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198503","9.143","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198504","13.489","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198505","8.144","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198506","6.44","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198507","9.24","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198508","8.726","1","Coal Consumed by the Commercial Sector","Trillion Btu"
